Altium Designer Pick and Place Locations
Q:\SuSo\Hardware\Schaltplan und Layout\SuSo_rev1.1x\Production\SuSo_rev_1_1_2\Pick&Place for SuSo_rev_1_1.csv

========================================================================================================================
File Design Information:

Date:       17.11.20
Time:       11:28
Revision:   Not in VersionControl
Variant:    SuSo_rev_1_1_2
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","RFFE_PartNo","ProductionPackage"
"X2","Fiducial","BottomLayer","PG_FIDUCIAL_1MM_2MM","34.5000","0.0000","180","",""
"X1","Fiducial","TopLayer","PG_FIDUCIAL_1MM_2MM","34.5000","0.0000","0","",""
"C13","100nF","TopLayer","PG_C0402_(1005Metrisch)","19.5250","0.7500","90","C-XX100N-X50402-01","*C0402"
"R5","147k","TopLayer","PG_R0201_(0603Metrisch)","15.3500","-3.7000","270","R-XX147K-XX0201-01","*R0201"
"R1","20k","BottomLayer","PG_3302","27.3500","-3.3500","90","P-XX20k0-xBTC42-01","*P3302"
"R60","6.8","TopLayer","PG_R0402_(1005Metrisch)","22.9000","-0.5000","0","R-XX6R80-XX0402-01","*R0402"
"R54","430k","TopLayer","PG_R0402_(1005Metrisch)","23.8500","-1.5250","180","R-XX430K-XX0402-01","*R0402"
"L4","3.3nH","TopLayer","PG_L0201_(0603Metrisch)","6.6750","-1.5250","360","L-XX3N30-XX0201-01","*L0201"
"L3","3.3nH","TopLayer","PG_L0201_(0603Metrisch)","12.9500","1.0250","360","L-XX3N30-XX0201-01","*L0201"
"C4","6.8nF","BottomLayer","PG_C0402_(1005Metrisch)","21.2200","-3.5250","90","C-XX6N80-X70402-01","*C0402"
"C1","6.8nF","BottomLayer","PG_C0402_(1005Metrisch)","20.3600","1.0650","270","C-XX6N80-X70402-01","*C0402"
"C2","6.8nF","BottomLayer","PG_C0402_(1005Metrisch)","16.8250","-3.5650","270","C-XX6N80-X70402-01","*C0402"
"C3","6.8nF","BottomLayer","PG_C0402_(1005Metrisch)","25.2800","1.7900","270","C-XX6N80-X70402-01","*C0402"
"C5","10pF","BottomLayer","PG_C0402_(1005Metrisch)","25.6800","3.1700","360","C-XX10P0-CG0402-01","*C0402"
"C6","10pF","BottomLayer","PG_C0402_(1005Metrisch)","22.1000","2.4650","270","C-XX10P0-CG0402-01","*C0402"
"C7","6.8nF","TopLayer","PG_C0402_(1005Metrisch)","21.1250","3.8400","90","C-XX100N-X70402-50","*C0402"
"C8","6.8nF","TopLayer","PG_C0402_(1005Metrisch)","24.8150","3.4200","270","C-XX6N80-X70402-01","*C0402"
"C9","10uF","TopLayer","PG_C0603_(1608Metrisch)","19.5000","2.9250","90","C-XX10U0-X50603-01","*C0603"
"C10","100nF","TopLayer","PG_C0201_(0603Metrisch)","16.0750","1.6000","270","C-XX100N-X50201-01","*C0201"
"C11","100nF","TopLayer","PG_C0201_(0603Metrisch)","17.7250","1.6000","270","C-XX100N-X50201-01","*C0201"
"C12","100nF","TopLayer","PG_C0201_(0603Metrisch)","16.6250","1.6000","90","C-XX100N-X50201-01","*C0201"
"C14","100nF","TopLayer","PG_C0201_(0603Metrisch)","17.1750","1.6000","270","C-XX100N-X50201-01","*C0201"
"C17","27pF","TopLayer","PG_C0402_(1005Metrisch)","21.1500","0.4750","360","C-XX27P0-CG0402-01","*C0402"
