Altium Designer Pick and Place Locations
V:\EBG electro\Ganymed\Hardware\Schematic_Layout\SigMeas_rev4.00\Production\Pick Place for SigMeas_4.00.csv

========================================================================================================================
File Design Information:

Date:       07.06.21
Time:       09:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","RFFE_PartNo","ProductionPackage"
"C201","100n","TopLayer","C0402_(1005Metrisch)","21.8000","50.3250","180","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C202","100n","TopLayer","C0402_(1005Metrisch)","21.8000","41.2250","180","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C203","100n","TopLayer","C0402_(1005Metrisch)","30.0877","50.3250","180","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C204","100n","TopLayer","C0402_(1005Metrisch)","30.0877","41.2250","180","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C205","NP","TopLayer","C0603_(1608Metrisch)","14.5000","56.5250","90","Capacitor, SMD","",""
"C206","1.5n/2%","TopLayer","C0603_(1608Metrisch)","32.3596","40.0050","180","Capacitor, SMD","C-XX1N50-CG0603-01","*C0603"
"C207","15n/2%","TopLayer","C0603_(1608Metrisch)","33.6000","42.1000","90","Capacitor, SMD","C-XX15N0-CG0603-01","*C0603"
"C214","56n/5%","TopLayer","C0402_(1005Metrisch)","36.3850","44.1250","180","Capacitor, SMD","C-XX56n0-CG0402-05","*C0402"
"C225","NP","TopLayer","C0603_(1608Metrisch)","21.6500","56.4750","90","Capacitor, SMD","",""
"C226","1.5n/2%","TopLayer","C0603_(1608Metrisch)","27.7876","40.0050","360","Capacitor, SMD","C-XX1N50-CG0603-01","*C0603"
"C227","15n/2%","TopLayer","C0603_(1608Metrisch)","26.4668","43.0784","90","Capacitor, SMD","C-XX15N0-CG0603-01","*C0603"
"C234","56n/5%","TopLayer","C0402_(1005Metrisch)","36.3850","45.7000","180","Capacitor, SMD","C-XX56n0-CG0402-05","*C0402"
"C245","NP","TopLayer","C0603_(1608Metrisch)","31.6250","56.2750","90","Capacitor, SMD","",""
"C246","1.5n/2%","TopLayer","C0603_(1608Metrisch)","28.8290","52.1716","180","Capacitor, SMD","C-XX1N50-CG0603-01","*C0603"
"C247","15n/2%","TopLayer","C0603_(1608Metrisch)","26.4668","48.4886","270","Capacitor, SMD","C-XX15N0-CG0603-01","*C0603"
"C254","56n/5%","TopLayer","C0402_(1005Metrisch)","36.3850","47.2750","180","Capacitor, SMD","C-XX56n0-CG0402-05","*C0402"
"C260","1uF/16V","TopLayer","C0603_(1608Metrisch)","33.7500","52.2250","90","Capacitor, SMD","C-XX1U00-X70603-16","*C0603"
"C261","1uF/16V","TopLayer","C0603_(1608Metrisch)","30.3530","38.3032","270","Capacitor, SMD","C-XX1U00-X70603-16","*C0603"
"C262","100n","TopLayer","C0402_(1005Metrisch)","23.5750","50.3000","180","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C301","100n","TopLayer","C0402_(1005Metrisch)","60.8250","68.3000","90","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C302","100n","TopLayer","C0402_(1005Metrisch)","51.7750","68.3000","90","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C303","100n","TopLayer","C0402_(1005Metrisch)","60.8500","60.6123","90","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C304","100n","TopLayer","C0402_(1005Metrisch)","51.7500","60.6123","90","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C305","NP","TopLayer","C0402_(1005Metrisch)","47.3500","73.4500","360","Capacitor, SMD","",""
"C306","1.5n/2%","TopLayer","C0603_(1608Metrisch)","49.8348","62.4078","270","Capacitor, SMD","C-XX1N50-CG0603-01","*C0603"
"C307","15n/2%","TopLayer","C0603_(1608Metrisch)","52.9844","64.2366","360","Capacitor, SMD","C-XX15N0-CG0603-01","*C0603"
"C314","56n/5%","TopLayer","C0402_(1005Metrisch)","49.6570","50.4671","180","Capacitor, SMD","C-XX56n0-CG0402-05","*C0402"
"C325","NP","TopLayer","C0402_(1005Metrisch)","57.4250","73.4500","360","Capacitor, SMD","",""
"C326","1.5n/2%","TopLayer","C0603_(1608Metrisch)","49.9364","59.2328","360","Capacitor, SMD","C-XX1N50-CG0603-01","*C0603"
"C327","15n/2%","TopLayer","C0603_(1608Metrisch)","52.0500","56.9976","360","Capacitor, SMD","C-XX15N0-CG0603-01","*C0603"
"C334","56n/5%","TopLayer","C0402_(1005Metrisch)","49.6500","52.1421","180","Capacitor, SMD","C-XX56n0-CG0402-05","*C0402"
"C345","NP","TopLayer","C0402_(1005Metrisch)","67.4500","73.4250","360","Capacitor, SMD","",""
"C346","1.5n/2%","TopLayer","C0603_(1608Metrisch)","62.8148","62.6618","180","Capacitor, SMD","C-XX1N50-CG0603-01","*C0603"
"C347","15n/2%","TopLayer","C0603_(1608Metrisch)","59.6392","64.2112","180","Capacitor, SMD","C-XX15N0-CG0603-01","*C0603"
"C354","56n/5%","TopLayer","C0402_(1005Metrisch)","49.6500","53.7921","180","Capacitor, SMD","C-XX56n0-CG0402-05","*C0402"
"C360","1uF/16V","TopLayer","C0603_(1608Metrisch)","62.7500","56.9500","360","Capacitor, SMD","C-XX1U00-X70603-16","*C0603"
"C361","1uF/16V","TopLayer","C0603_(1608Metrisch)","47.0916","60.5171","180","Capacitor, SMD","C-XX1U00-X70603-16","*C0603"
"C362","100n","TopLayer","C0402_(1005Metrisch)","60.8250","66.5250","90","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C401","4u7/10V","TopLayer","C0805_(2012Metrisch)","43.1800","51.2826","270","Capacitor, SMD","C-XX4U70-X50805-01","*C0805"
"C402","100n","TopLayer","C0402_(1005Metrisch)","55.7750","46.8750","360","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C403","100n","TopLayer","C0402_(1005Metrisch)","50.3250","47.8250","180","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C404","100n","TopLayer","C0402_(1005Metrisch)","44.4250","43.0000","180","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C405","100n","TopLayer","C0402_(1005Metrisch)","44.8250","31.1500","270","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C406","100n","TopLayer","C0402_(1005Metrisch)","60.9000","28.3750","360","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C407","100n","TopLayer","C0402_(1005Metrisch)","63.2750","43.4000","270","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
"C408","1uF/16V","TopLayer","C0603_(1608Metrisch)","58.8250","47.4000","180","Capacitor, SMD","C-XX1U00-X70603-16","*C0603"
"C409","100n","TopLayer","C0402_(1005Metrisch)","49.6250","46.8500","360","Capacitor, SMD","C-XX100N-X70402-50","*C0402"
